Type,Block,Trial,ObjectiveValue,Uncertainty,Response,Fishing,Feedback,RT,Zgain,Zloss,run_id,sub_id
1,3,46,-3,1,1,2,3,0.6967573,3.0,6.0,4,Sub111
1,3,47,-2,4,1,2,3,0.85201,2.0,4.0,4,Sub111
1,3,48,-4,4,1,2,3,0.7088018,1.0,5.0,4,Sub111
1,3,49,1,9,1,1,2,0.8657777,1.0,0.0,4,Sub111
1,3,50,2,6,1,0,1,0.8472542,3.0,1.0,4,Sub111
1,3,51,2,4,1,0,1,0.8561992,4.0,2.0,4,Sub111
1,3,52,2,6,1,0,1,0.9567793,3.0,1.0,4,Sub111
1,3,53,-1,7,1,1,3,0.6809553,1.0,2.0,4,Sub111
1,3,54,-1,3,1,1,3,0.938022,3.0,4.0,4,Sub111
1,3,55,-3,5,1,2,3,0.7896857,1.0,4.0,4,Sub111
1,3,56,-3,3,1,2,3,0.5824446,2.0,5.0,4,Sub111
1,3,57,-4,4,1,2,3,0.6357613,1.0,5.0,4,Sub111
1,3,58,-2,4,1,2,3,0.6080045,2.0,4.0,4,Sub111
1,3,59,-2,2,1,2,3,0.6931991,3.0,5.0,4,Sub111
1,3,60,-4,4,1,2,3,0.6501529,1.0,5.0,4,Sub111
2,4,61,-1,3,1,0,2,0.8702807,3.0,4.0,4,Sub111
2,4,62,3,1,1,0,2,0.6124383,6.0,3.0,4,Sub111
2,4,63,-1,1,1,0,1,0.8056357,4.0,5.0,4,Sub111
2,4,64,4,2,1,0,2,0.6268326,6.0,2.0,4,Sub111
2,4,65,3,5,1,0,2,0.6632334,4.0,1.0,4,Sub111
2,4,66,-4,4,1,2,3,0.6103548,1.0,5.0,4,Sub111
2,4,67,-3,3,1,2,3,0.6253271,2.0,5.0,4,Sub111
2,4,68,-3,3,1,2,3,0.6752023,2.0,5.0,4,Sub111
2,4,69,1,9,1,0,2,0.9121752,1.0,0.0,4,Sub111
2,4,70,1,9,1,1,1,0.8894848,1.0,0.0,4,Sub111
2,4,71,4,2,1,0,1,0.6645574,6.0,2.0,4,Sub111
2,4,72,-3,5,1,2,3,0.7237017,1.0,4.0,4,Sub111
2,4,73,2,6,1,0,2,0.7967006,3.0,1.0,4,Sub111
2,4,74,-2,4,1,1,3,0.8398553,2.0,4.0,4,Sub111
2,4,75,3,7,1,0,2,0.6999752,3.0,0.0,4,Sub111
2,4,76,2,6,1,0,2,0.8924055,3.0,1.0,4,Sub111
2,4,77,-4,4,1,2,3,0.6995641,1.0,5.0,4,Sub111
2,4,78,2,8,1,0,2,0.6880257,2.0,0.0,4,Sub111
2,4,79,-2,6,1,1,3,0.7586883,1.0,3.0,4,Sub111
2,4,80,4,4,1,0,1,0.6516427,5.0,1.0,4,Sub111
1,1,1,4,4,1,0,2,7.174463e-01,5.0,1.0,1,Sub106
1,1,2,-4,2,1,2,3,7.246789e-01,2.0,6.0,1,Sub106
1,1,3,-2,6,1,2,3,1.198796e+00,1.0,3.0,1,Sub106
1,1,4,-4,2,1,2,3,1.084490e+00,2.0,6.0,1,Sub106
1,1,5,3,3,1,0,2,6.726661e-01,5.0,2.0,1,Sub106
1,1,6,-3,5,1,2,3,9.951551e-01,1.0,4.0,1,Sub106
1,1,7,-1,5,1,1,3,1.230133e+00,2.0,3.0,1,Sub106
1,1,8,4,2,1,0,2,7.599000e-01,6.0,2.0,1,Sub106
1,1,9,-2,2,1,0,2,1.099631e+00,3.0,5.0,1,Sub106
1,1,10,-1,5,1,1,3,8.279670e-01,2.0,3.0,1,Sub106
1,1,11,2,8,1,0,2,8.111526e-01,2.0,0.0,1,Sub106
1,1,12,1,1,1,0,1,6.005396e-01,5.0,4.0,1,Sub106
1,1,13,-4,4,1,2,3,9.669299e-01,1.0,5.0,1,Sub106
1,1,14,-4,2,1,0,1,1.096204e+00,2.0,6.0,1,Sub106
1,1,15,4,2,1,0,2,7.429922e-01,6.0,2.0,1,Sub106
1,1,16,4,2,1,0,2,8.221751e-01,6.0,2.0,1,Sub106
1,1,17,4,6,1,0,2,7.246356e-01,4.0,0.0,1,Sub106
1,1,18,2,4,1,0,2,8.768526e-01,4.0,2.0,1,Sub106
1,1,19,-2,4,1,2,3,7.659835e-01,2.0,4.0,1,Sub106
1,1,20,3,7,1,0,2,8.334552e-01,3.0,0.0,1,Sub106
2,2,21,-1,5,1,0,1,7.771119e-01,2.0,3.0,1,Sub106
2,2,22,-1,5,1,1,3,1.160260e+00,2.0,3.0,1,Sub106
2,2,23,-3,5,1,2,3,1.425766e+00,1.0,4.0,1,Sub106
2,2,24,4,2,1,0,2,7.705610e-01,6.0,2.0,1,Sub106
2,2,25,4,6,1,0,2,8.516757e-01,4.0,0.0,1,Sub106
2,2,26,1,7,1,1,2,1.053584e+00,2.0,1.0,1,Sub106
2,2,27,-1,5,1,2,3,9.712368e-01,2.0,3.0,1,Sub106
